Medicine Name,Uses,Side_effects
Avastin 400mg Injection, Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer,Rectal bleeding Taste change Headache Nosebleeds Back pain Dry skin High blood pressure Protein in urine Inflammation of the nose
Augmentin 625 Duo Tablet,Treatment of Bacterial infections,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Azithral 500 Tablet,Treatment of Bacterial infections,Nausea Abdominal pain Diarrhea
Ascoril LS Syrup,Treatment of Cough with mucus,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
Aciloc 150 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Headache Diarrhea Gastrointestinal disturbance
Allegra 120mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Headache Drowsiness Dizziness Nausea
Avil 25 Tablet,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,Sedation
Aricep 5 Tablet, Alzheimer's disease,Common cold Urinary incontinence Rash Nausea Diarrhea Insomnia difficulty in sleeping Weight loss Accidental injury
Amoxyclav 625 Tablet,Treatment of Bacterial infections,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Atarax 25mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Sedation Nausea Vomiting Upset stomach Constipation
Azee 500 Tablet,Treatment of Bacterial infections,Nausea Abdominal pain Diarrhea
Anovate Cream,Treatment of Piles,Application site reactions burning irritation itching and redness
Allegra-M Tablet,Treatment of Sneezing and runny nose due to allergies,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Ascoril D Plus Syrup Sugar Free,Treatment of Dry cough,Nausea Vomiting Loss of appetite Headache
Alex Syrup,Treatment of Dry cough,Nausea Vomiting Loss of appetite Headache
Armotraz Tablet, Breast cancer,Hot flashes Nausea Osteoporosis Skin rash Weakness
Augmentin Duo Oral Suspension,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Abdominal pain Allergy Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Albendazole 400mg Tablet,Treatment of Parasitic infections,Vomiting Dizziness Increased liver enzymes Nausea Loss of appetite
Arkamin Tablet,Treatment of Hypertension (high blood pressure),Dryness in mouth Fatigue Dizziness Headache Nausea Sleepiness Insomnia difficulty in sleeping
Allegra 180mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Headache Drowsiness Dizziness Nausea
Altraday Capsule SR, Pain relief,Nausea Flatulence Indigestion Diarrhea Constipation
Atarax 10mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Sedation Nausea Vomiting Upset stomach Constipation
Aldigesic-SP Tablet, Pain relief,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Aldactone Tablet, Hypertension (high blood pressure) Edema Low potassium Heart failure,Nausea Vomiting Leg cramps Dizziness Drowsiness Confusion Breast enlargement in male Increased creatinine level in blood
Aricep 10 Tablet, Alzheimer's disease,Common cold Urinary incontinence Rash Nausea Diarrhea Insomnia difficulty in sleeping Weight loss Accidental injury
Aricep-M  Tablet, Alzheimer's disease,Nausea Vomiting Loss of appetite Diarrhea Headache Dizziness Bleeding under the skin
Andre I-Kul Eye Drop,Treatment of Allergic eye disease,Eye pain Eye irritation Stinging in the eyes Blurred vision Photophobia
Anafortan 25 mg/300 mg Tablet,Treatment of Abdominal pain,Dryness in mouth Constipation Blurred vision Increased heart rate
Atarax Syrup,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Sedation Nausea Vomiting Upset stomach Constipation
Ambrodil-S Syrup,Treatment of Cough,Headache Palpitations Upset stomach Tremors Muscle cramp Allergic reaction Increased heart rate
Asthakind-DX Syrup Sugar Free,Treatment of Dry cough,Nausea Vomiting Loss of appetite Headache
Aceclo Plus Tablet, Pain relief,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Althrocin 500 Tablet,Treatment of Bacterial infections,Vomiting Nausea Abdominal pain Diarrhea
Asthalin Syrup,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Tremors Headache Palpitations Increased heart rate Muscle cramp Nervousness
Axcer  90mg Tablet, Prevention of heart attack and stroke,Bleeding Breathlessness
Arachitol 6L Injection,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,Injection site reactions pain swelling redness Weakness Muscle pain Metallic taste
Alfoo 10mg Tablet PR,Treatment of Benign prostatic hyperplasia,Upper respiratory tract infection Dizziness Headache Nausea Abdominal pain Impotence
Azithral 200 Liquid,Treatment of Bacterial infections,Nausea Abdominal pain Diarrhea
Acemiz Plus Tablet, Pain relief,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
